B-Grade Inventory,,,,,
Style,Size,Color,Midsole,Foot Form,Lace
skiff 2.0,5.5,lavender,FALSE,FALSE,TRUE
skiff ,7.5,birds,TRUE,TRUE,TRUE
skiff 2.0,6,all white,FALSE,TRUE,TRUE
skiff,6.5,white,TRUE,TRUE,TRUE
skiff,9,md flag,FALSE,FALSE,TRUE
skiff,6.5,all white,TRUE,TRUE,TRUE
skiff,5.5,bubblegum,FALSE,FALSE,FALSE
skiff 2.0,6,white+gum,TRUE,TRUE,TRUE
skiff custom,6,grey +white clear,TRUE,TRUE,TRUE
skiff,5,all white,TRUE,TRUE,TRUE
skiff,5,md flag,TRUE,TRUE,TRUE
skiff,6.5,black,TRUE,TRUE,TRUE
skiff,6.5,princeton,FALSE,FALSE,FALSE
skiff,7.5,all white,TRUE,TRUE,TRUE
bangr,6,bubblegum,FALSE,FALSE,FALSE
skiff,7,black,TRUE,TRUE,FALSE
skiff 2.0,7.5,navy frost,TRUE,TRUE,FALSE
skiff,7,pistachio,TRUE,TRUE,TRUE
skiff,5.5,black + gum,TRUE,TRUE,TRUE
skiff,7.5,white,TRUE,FALSE,TRUE
skiff,5.5,navy+gum,FALSE,FALSE,FALSE
skiff,5,black gum,TRUE,TRUE,TRUE
skiff,5.5,pistachio,TRUE,TRUE,TRUE
skiff,6.5,all white,FALSE,FALSE,FALSE
skiff2.0,7.5,white frost,TRUE,TRUE,TRUE
bangr,7,white black,TRUE,TRUE,TRUE
skiff,7,poinsettia,FALSE,FALSE,TRUE
skiff,7,white,TRUE,TRUE,TRUE
skiff,8,iron,TRUE,TRUE,TRUE
skiff,9,iron,FALSE,FALSE,FALSE
skiff,9,md grey,FALSE,FALSE,FALSE
skiff,9.5,black,TRUE,TRUE,TRUE
skiff,9.5,caramel,FALSE,FALSE,FALSE
skiff2.0,10,iron + frost,FALSE,TRUE,TRUE
skiff2.0,10.5,black out,FALSE,TRUE,TRUE
skiff2.0,10.5,whiteout,FALSE,TRUE,TRUE
skiff 2.0,10.5,black + white,FALSE,FALSE,FALSE
skiff,11,black gum,FALSE,FALSE,TRUE
skiff,11,md limited grey,FALSE,TRUE,TRUE
skiff,11,black out,FALSE,FALSE,FALSE
bangr,11,white/black,FALSE,TRUE,TRUE
skiff,11.5,grey +gum,FALSE,TRUE,TRUE
skiff,11.5,grey +gum,FALSE,FALSE,FALSE
skiff,11.5,navy,FALSE,FALSE,FALSE
skiff2.0,11.5,grey +gum,FALSE,TRUE,TRUE
skiff,11.5,all white,FALSE,TRUE,TRUE
skiff,12,navy+gum,FALSE,TRUE,FALSE
skiff2.0,13,navy+gum,FALSE,FALSE,TRUE
skiff 2.0,12,iron+black,FALSE,TRUE,TRUE
skiff 2.0,12,admiral,FALSE,FALSE,FALSE
skiff 2.0,12,naval academy,FALSE,FALSE,FALSE
skiff,12,black,FALSE,TRUE,TRUE
skiff,12,white,FALSE,FALSE,FALSE
skiff,10,white,FALSE,FALSE,FALSE
skiff 2.0,13,iron + black,FALSE,TRUE,TRUE
skiff,12,admiral,FALSE,TRUE,FALSE
bangr,10.5,b/w,TRUE,TRUE,TRUE
skiff,10.5,white,TRUE,TRUE,TRUE
skiff 2.0,10.5,iron +frost,FALSE,FALSE,TRUE
skiff,2,black + white,FALSE,TRUE,TRUE
skiff,10,black,FALSE,TRUE,TRUE
skiff,10,black gum,FALSE,TRUE,TRUE
skiff,10.5,black gum,FALSE,TRUE,TRUE
skiff,10,grey hth,FALSE,TRUE,FALSE
skiff,10,never more,FALSE,FALSE,FALSE
skiff 2.0,9,iron + black,FALSE,TRUE,TRUE
skiff,9.5,all white,FALSE,TRUE,TRUE
skiff,9.5,burgh,FALSE,TRUE,TRUE
skiff,9.5,blk,FALSE,FALSE,TRUE
skiff ,9,blk,FALSE,TRUE,TRUE
skiff,9,princeton orange,FALSE,FALSE,FALSE
bangr,10.5,white/black,FALSE,FALSE,TRUE
skiff,10.5,grey,FALSE,FALSE,FALSE
skiff,8,black,FALSE,FALSE,FALSE
made + custom,8,white/red,FALSE,FALSE,TRUE
made + custom,9.5,terp,TRUE,FALSE,TRUE
skiff ,9,poinsettia,FALSE,FALSE,TRUE
skiff(1 shoe),8.5,gray,TRUE,TRUE,TRUE
skiff 2.0,8.5,iron + black,FALSE,TRUE,TRUE
skiff,8,black,TRUE,TRUE,TRUE
skiff+,8,white,TRUE,TRUE,TRUE
skiff,8,black +gum,TRUE,TRUE,TRUE
skiff 2.0,8.5,black + white,FALSE,TRUE,TRUE
skiff +,8,iron,FALSE,TRUE,FALSE
skiff +,9,all white,FALSE,FALSE,FALSE
skiff +,9,DC,FALSE,FALSE,FALSE
skiff 2.0,11.5,USNA,FALSE,FALSE,FALSE
