# distance_m=700.6
# duration_s=2058
# pace=48m 57s /km
t,roll,pitch,yaw,tempC,steps,cadence,strideM,deltaH,label
23.000,-62.571,-17.019,-155.457,14.23,0,0.0,0.443,,running
23.100,-60.394,-19.416,,,0,0.0,0.443,0.000,running
23.200,-55.884,-23.131,-152.215,14.24,0,0.0,0.443,0.000,running
23.300,-49.469,-26.200,-147.134,14.24,0,0.0,0.443,0.000,running
23.400,-40.851,-26.863,-139.384,14.25,0,0.0,0.443,0.000,running
23.500,-32.830,-27.667,-131.963,14.25,0,0.0,0.443,0.000,running
23.600,-26.754,-30.836,-127.047,14.25,0,0.0,0.443,0.000,running
23.700,-21.831,-38.381,-121.517,14.27,0,0.0,0.443,0.000,running
23.800,-18.538,,,,1,0.0,0.443,,running
23.900,-16.944,-41.648,-118.872,14.26,1,0.0,0.443,0.000,running
24.000,-15.668,-44.067,-118.449,14.27,1,0.0,0.443,0.000,running
24.100,-14.922,-46.590,-118.795,14.28,1,0.0,0.443,0.000,running
24.200,-14.880,-49.324,-118.350,14.28,1,0.0,0.443,0.000,running
24.300,-14.909,-49.357,-117.924,14.29,1,0.0,0.443,0.000,running
24.400,-14.224,-50.181,-116.653,14.29,1,0.0,0.443,0.000,running
24.500,-13.357,-50.596,-115.968,14.29,1,0.0,0.443,0.000,running
24.600,-12.462,-51.045,-114.099,14.30,1,0.0,0.443,0.000,running
24.700,-12.121,-51.526,-113.935,14.30,1,0.0,0.443,0.000,running
24.800,-11.376,-50.519,-112.367,14.31,1,0.0,0.443,0.000,running
24.900,-11.094,-51.354,-112.976,14.32,1,0.0,0.443,0.000,running
25.000,-10.609,-51.470,-109.904,14.32,1,0.0,0.443,0.000,running
25.100,-9.877,-51.189,-110.267,14.32,1,0.0,0.443,0.000,running
25.200,-9.570,-50.968,-110.052,14.32,1,0.0,0.443,0.000,running
25.300,-9.382,-50.733,-109.621,14.33,1,0.0,0.443,0.000,running
25.400,-8.989,-50.275,-110.242,14.33,1,0.0,0.443,0.000,running
25.500,-8.526,-49.923,-109.031,14.34,1,0.0,0.443,0.000,running
25.600,-7.615,-49.930,-107.227,14.34,1,0.0,0.443,0.000,running
25.700,-6.805,-48.428,-106.768,14.35,1,0.0,0.443,0.000,running
25.800,-6.425,-48.392,-108.584,14.35,1,0.0,0.443,0.000,running
25.900,-6.039,-48.224,-109.219,14.35,1,0.0,0.443,0.000,running
26.000,-6.247,-48.724,-109.829,14.36,1,0.0,0.443,0.000,running
26.100,-6.010,-48.533,-110.424,14.36,1,0.0,0.443,0.000,running
26.200,-6.405,-49.170,-110.037,14.37,1,0.0,0.443,0.000,running
26.300,-6.638,-49.320,-110.191,14.37,1,0.0,0.443,0.000,running
26.400,-6.734,-49.183,-110.242,14.38,1,0.0,0.443,0.000,running
26.500,-7.239,-48.923,-110.685,14.39,1,0.0,0.443,0.000,running
26.600,-7.587,-48.348,-111.073,14.38,1,0.0,0.443,0.000,running
26.700,-7.434,-48.098,-111.243,14.39,1,0.0,0.443,0.000,running
26.800,-7.695,-48.545,-110.839,14.40,1,0.0,0.443,0.000,running
26.900,-8.326,-48.550,-109.578,14.40,1,0.0,0.443,0.000,running
27.000,-8.584,-48.296,-108.464,14.40,1,0.0,0.443,0.000,running
27.100,-7.928,-48.369,-109.131,14.41,1,0.0,0.443,0.000,running
27.200,-7.315,-48.401,-110.053,14.41,1,0.0,0.443,0.000,running
27.300,-7.408,-48.802,-110.592,14.42,1,0.0,0.443,0.000,running
27.400,-7.799,-49.065,-110.839,14.42,1,0.0,0.443,0.000,running
27.500,-7.727,-48.980,-111.031,14.43,1,0.0,0.443,0.000,running
27.600,-7.749,-49.421,-111.573,14.43,1,0.0,0.443,0.000,running
27.700,-7.978,-49.277,-111.087,14.44,1,0.0,0.443,0.000,running
27.800,-7.777,-47.374,-110.514,14.45,1,0.0,0.443,0.000,running
27.900,-6.714,,,,2,14.6,0.443,,running
28.000,-6.888,,,,2,14.6,0.443,,running
28.100,-7.363,,,,2,14.6,0.443,,running
28.200,-7.585,,,,2,14.6,0.443,,running
28.300,-7.702,-47.396,-111.457,14.47,2,14.6,0.443,,running
28.400,-8.053,,,,3,26.1,0.443,,running
28.500,-8.166,,,,3,26.1,0.443,,running
28.600,-8.095,-47.281,-111.769,14.48,3,26.1,0.443,0.000,running
28.700,-8.227,,,,4,36.7,0.443,,running
28.800,-8.744,-48.166,-111.782,14.50,4,36.7,0.443,0.000,running
28.900,-8.881,,,,4,36.7,0.443,,running
29.000,-9.345,-49.820,-112.479,,4,36.7,0.443,0.000,running
29.100,-8.873,,,14.50,5,45.3,0.443,,running
29.200,-8.698,-50.473,-112.810,14.51,5,45.3,0.443,0.000,running
29.300,-8.851,-50.662,-112.465,,5,45.3,0.443,,running
29.400,-8.891,-50.825,-111.749,14.51,5,45.3,0.443,0.000,running
29.500,-8.995,-51.051,-111.560,14.52,5,45.3,0.443,0.000,running
29.600,-9.284,-51.315,-111.995,14.52,5,45.3,0.443,0.000,running
29.700,-9.439,-51.404,-112.079,14.53,5,45.3,0.443,0.000,running
29.800,-9.348,-51.437,-112.511,14.53,5,45.3,0.443,0.000,running
29.900,-9.386,-51.571,-112.039,14.54,5,45.3,0.443,0.000,running
30.000,-9.379,-51.452,-111.601,14.55,5,45.3,0.443,0.000,running
30.100,-9.174,-51.395,-111.268,14.54,5,45.3,0.443,0.000,running
30.200,-9.036,-51.260,-111.017,14.55,5,45.3,0.443,0.000,running
30.300,-8.932,-51.224,-110.968,14.56,5,45.3,0.443,0.000,running
30.400,-8.991,-51.079,-110.811,14.56,5,45.3,0.443,0.000,running
30.500,-8.875,-50.922,-110.505,14.57,5,45.3,0.443,0.000,running
30.600,-8.464,-50.993,-110.562,14.57,5,45.3,0.443,0.000,running
30.700,-8.132,-51.076,-109.984,14.57,5,45.3,0.443,0.000,running
30.800,-8.032,-51.086,-110.562,14.58,5,45.3,0.443,0.000,running
30.900,-8.098,-50.928,-110.158,14.58,5,45.3,0.443,0.000,running
31.000,-7.294,-50.193,-110.513,14.58,5,45.3,0.443,0.000,running
31.100,-7.239,-50.652,-109.922,14.59,5,45.3,0.443,0.000,running
31.200,-7.522,-50.510,-110.489,14.59,5,45.3,0.443,0.000,running
