# distance_m=165.0
# duration_s=117
# pace=11m 49s /km
t,roll,pitch,yaw,tempC,steps,cadence,strideM,deltaH,label
10.700,62.361,27.570,-23.203,24.55,0,0.0,5.155,0.000,walking
10.800,56.536,32.537,-25.825,24.55,0,0.0,5.155,0.000,walking
10.900,52.633,33.792,-29.879,24.55,0,0.0,5.155,0.000,walking
11.000,46.930,35.035,-35.638,24.55,0,0.0,5.155,0.000,walking
11.100,42.368,32.658,-41.378,24.55,0,0.0,5.155,0.000,walking
11.200,40.860,29.274,-46.333,24.54,0,0.0,5.155,0.000,walking
11.300,35.780,26.869,-53.230,24.54,0,0.0,5.155,0.000,walking
11.400,39.467,20.337,-58.111,24.53,0,0.0,5.155,0.000,walking
11.500,47.888,18.678,-65.321,24.52,0,0.0,5.155,0.000,walking
11.600,60.835,24.002,-71.357,24.50,0,0.0,5.155,0.000,walking
11.700,63.964,37.397,-69.514,24.50,1,0.0,5.155,0.000,walking
11.800,65.312,43.683,-58.794,24.49,1,0.0,5.155,0.000,walking
11.900,64.787,42.343,-44.560,24.49,1,0.0,5.155,0.000,walking
12.000,68.012,34.695,-24.671,24.49,1,0.0,5.155,0.000,walking
12.100,70.517,28.422,,,1,0.0,5.155,,walking
12.200,67.720,,,,1,0.0,5.155,,walking
12.300,56.342,25.012,-27.104,24.50,1,0.0,5.155,0.000,walking
12.400,50.298,,,,1,0.0,5.155,,walking
12.500,44.782,22.887,-53.359,24.50,1,0.0,5.155,0.000,walking
12.600,39.562,23.865,,,1,0.0,5.155,,walking
12.700,43.398,20.761,-60.112,24.49,1,0.0,5.155,0.000,walking
12.800,51.672,20.720,-64.934,24.49,1,0.0,5.155,,walking
12.900,65.382,26.339,-67.204,24.47,1,0.0,5.155,0.000,walking
13.000,73.216,38.046,-56.557,24.47,2,46.2,5.155,0.000,walking
13.100,73.941,44.101,-31.453,24.47,2,46.2,5.155,0.000,walking
13.200,71.837,41.778,-21.545,24.47,2,46.2,5.155,0.000,walking
13.300,72.543,34.984,-20.037,24.46,2,46.2,5.155,0.000,walking
13.400,73.870,31.941,-16.177,24.46,2,46.2,5.155,0.000,walking
13.500,66.357,29.479,-18.825,24.47,2,46.2,5.155,0.000,walking
13.600,57.278,26.633,-27.573,24.47,2,46.2,5.155,0.000,walking
13.700,54.431,26.987,-35.243,24.47,2,46.2,5.155,,walking
13.800,46.400,24.790,-44.219,24.47,2,46.2,5.155,0.000,walking
13.900,42.730,26.931,-53.482,24.47,2,46.2,5.155,0.000,walking
14.000,46.529,23.609,-60.454,24.46,2,46.2,5.155,0.000,walking
14.100,54.269,24.638,-65.295,24.45,2,46.2,5.155,0.000,walking
14.200,64.659,30.479,-66.852,24.44,2,46.2,5.155,0.000,walking
14.300,72.948,37.750,-58.500,24.44,2,46.2,5.155,0.000,walking
14.400,76.714,41.274,-30.122,24.44,2,46.2,5.155,0.000,walking
14.500,74.453,39.904,-17.929,24.43,2,46.2,5.155,0.000,walking
14.600,75.152,33.582,-15.581,24.44,2,46.2,5.155,0.000,walking
14.700,80.257,28.258,-10.334,24.44,2,46.2,5.155,0.000,walking
14.800,74.162,28.807,-10.035,24.44,2,46.2,5.155,0.000,walking
14.900,63.518,28.764,-18.327,24.45,2,46.2,5.155,0.000,walking
15.000,59.487,27.427,-29.374,24.45,2,46.2,5.155,0.000,walking
15.100,51.622,23.458,-37.098,24.45,2,46.2,5.155,0.000,walking
15.200,47.126,25.728,-44.913,24.45,2,46.2,5.155,0.000,walking
15.300,47.630,21.777,-50.224,24.45,2,46.2,5.155,0.000,walking
15.400,55.745,23.196,-52.657,24.44,2,46.2,5.155,0.000,walking
15.500,64.732,31.227,-51.629,24.44,2,46.2,5.155,0.000,walking
15.600,69.708,36.807,-40.976,24.43,2,46.2,5.155,0.000,walking
15.700,71.913,39.358,-24.298,24.43,2,46.2,5.155,,walking
15.800,68.094,35.267,-20.089,24.42,2,46.2,5.155,0.000,walking
15.900,70.613,29.329,-18.493,24.43,2,46.2,5.155,0.000,walking
16.000,77.480,22.601,-14.155,24.43,2,46.2,5.155,0.000,walking
16.100,74.097,27.970,-12.107,24.44,2,46.2,5.155,0.000,walking
