# distance_m=257.0
# duration_s=181
# pace=11:44 / km
t,roll,pitch,yaw,tempC,cadence,strideM,deltaH,label
18.400,-9.080,-19.780,-102.545,28.19,57.6,0.074,,walking
18.500,-9.130,-19.248,-102.770,28.18,57.6,0.074,,walking
18.600,-9.181,-19.211,-103.409,28.18,57.6,0.074,,walking
18.700,-9.303,-19.316,-103.406,28.18,57.6,0.074,,walking
18.800,-9.260,-19.097,-104.816,28.19,57.6,0.074,,walking
18.900,-9.315,-19.134,-104.033,28.19,57.6,0.074,,walking
19.000,-9.243,-18.955,-100.760,28.19,57.6,0.074,,walking
19.100,-9.363,-19.072,-102.457,28.20,57.6,0.074,,walking
19.200,-9.264,-19.034,-103.688,28.20,57.6,0.074,,walking
19.300,-9.354,-19.142,-102.233,28.21,57.6,0.074,,walking
19.400,-9.422,-19.122,-104.266,28.21,57.6,0.074,,walking
19.500,-9.392,-19.083,-102.532,28.22,57.6,0.074,,walking
19.600,-9.467,-19.231,-102.405,28.22,57.6,0.074,,walking
19.700,-9.522,-19.308,-103.944,28.23,57.6,0.074,,walking
19.800,-9.697,-19.608,-106.849,28.23,57.6,0.074,,walking
19.900,-9.455,-19.526,-106.997,28.24,57.6,0.074,,walking
20.000,-9.650,,,,,,,walking
20.100,-9.750,-20.333,-108.668,28.25,57.6,0.074,,walking
20.200,-9.637,-20.546,-109.115,28.26,57.6,0.074,,walking
20.300,-9.424,,,28.27,57.6,,,walking
20.400,-9.446,-21.095,-111.664,,,0.074,,walking
20.500,-9.276,-21.233,-111.049,28.27,57.6,0.074,,walking
20.600,-9.262,-21.421,-111.674,28.28,57.6,0.074,,walking
20.700,-9.189,-21.491,-110.288,28.28,57.6,0.074,,walking
20.800,-9.144,-21.281,-110.201,28.29,57.6,0.074,,walking
20.900,-9.222,-21.226,-109.570,28.30,57.6,0.074,,walking
21.000,-9.279,-21.195,-103.759,28.30,57.6,0.074,,walking
21.100,-9.282,-20.992,-106.200,28.31,57.6,0.074,,walking
21.200,-9.354,-20.928,-108.127,28.31,57.6,0.074,,walking
21.300,-9.386,-20.806,-107.924,28.32,57.6,0.074,,walking
21.400,-9.436,-20.758,-108.514,28.32,57.6,0.074,,walking
21.500,-9.246,-20.340,-108.231,28.33,57.6,0.074,,walking
21.600,-9.891,-20.511,-108.628,28.34,57.6,0.074,,walking
21.700,-9.646,-19.388,-107.060,28.34,57.6,0.074,,walking
21.800,-7.875,-19.218,-105.320,28.35,57.6,0.074,,walking
21.900,-6.925,-17.405,-101.968,28.35,57.6,0.074,,walking
22.000,-5.475,-16.145,-101.096,28.36,57.6,0.074,,walking
22.100,-0.091,-12.957,-101.665,28.36,57.6,0.074,,walking
22.200,2.123,-15.344,-102.780,28.37,57.6,0.074,,walking
22.300,6.788,-15.922,-100.433,28.38,57.6,0.074,,walking
22.400,9.735,-19.248,-99.523,28.38,57.6,0.074,,walking
22.500,14.952,-23.710,-97.700,28.39,57.6,0.074,,walking
22.600,19.566,-33.994,-96.801,28.39,57.6,0.074,,walking
22.700,22.271,-40.243,-97.234,28.40,57.6,0.074,,walking
22.800,24.547,-39.217,-102.611,28.40,57.6,0.074,,walking
22.900,29.782,-34.095,-116.064,28.41,57.6,0.074,,walking
23.000,27.577,-40.102,-97.012,28.42,57.6,0.074,,walking
23.100,17.172,-28.618,-116.620,28.42,57.6,0.074,,walking
23.200,-6.875,-3.070,-100.253,28.42,57.6,0.074,,walking
23.300,-18.515,1.811,5.919,28.42,57.6,0.074,,walking
23.400,-16.317,-2.589,63.404,28.43,57.6,0.074,,walking
23.500,17.959,-1.315,-0.551,28.43,57.6,0.074,,walking
23.600,65.264,-1.543,-65.387,28.43,57.6,0.074,,walking
23.700,87.681,-19.679,51.569,28.44,57.6,0.074,,walking
23.800,89.673,-28.126,95.777,28.45,57.6,0.074,,walking
23.900,84.540,-34.156,121.127,28.45,57.6,0.074,,walking
24.000,71.600,-34.889,31.518,28.45,57.6,0.074,,walking
24.100,53.671,-39.908,-66.136,28.46,57.6,0.074,,walking
24.200,42.741,-36.280,-105.944,28.46,57.6,0.074,,walking
24.300,40.364,-29.838,-126.196,28.47,57.6,0.074,,walking
24.400,48.677,-27.768,-142.304,28.47,57.6,0.074,,walking
24.500,50.539,-30.204,-152.126,28.47,57.6,0.074,,walking
24.600,43.304,-36.185,-151.688,28.48,57.6,0.074,,walking
24.700,31.901,-41.013,-145.013,28.48,57.6,0.074,,walking
24.800,15.548,-45.870,-136.226,28.48,57.6,0.074,,walking
24.900,7.052,-43.565,-133.697,28.48,57.6,0.074,,walking
25.000,-8.618,-32.253,-140.223,28.48,57.6,0.074,,walking
25.100,-25.128,-17.883,-126.908,28.48,57.6,0.074,,walking
25.200,-35.014,-12.672,14.281,28.48,57.6,0.074,,walking
25.300,-33.184,-12.499,75.851,28.48,57.6,0.074,,walking
25.400,-7.383,-5.832,33.474,28.48,57.6,0.074,,walking
25.500,48.407,-9.421,-50.600,28.49,57.6,0.074,,walking
25.600,84.987,-16.744,-98.830,28.49,57.6,0.074,,walking
25.700,99.846,-41.366,15.458,28.49,57.6,0.074,,walking
25.800,90.454,-44.638,71.578,28.50,57.6,0.074,,walking
25.900,77.396,-37.027,110.916,28.50,57.6,0.074,,walking
26.000,59.072,-36.130,-4.235,28.50,57.6,0.074,,walking
26.100,41.187,-37.598,-68.844,28.50,57.6,0.074,,walking
26.200,18.574,-42.703,-95.472,28.50,57.6,0.074,,walking
26.300,1.178,-52.291,-108.088,28.50,57.6,0.074,,walking
26.400,0.738,-25.316,-131.729,28.49,57.6,0.074,,walking
26.500,-16.989,-6.067,13.646,28.49,57.6,0.074,,walking
26.600,-20.858,-3.581,63.036,28.49,57.6,0.074,,walking
26.700,-2.935,-2.952,66.902,28.49,57.6,0.074,,walking
26.800,51.447,-7.505,-33.563,28.49,57.6,0.074,,walking
26.900,82.452,-24.230,-71.957,28.49,57.6,0.074,,walking
27.000,97.638,-42.701,35.839,28.50,57.6,0.074,,walking
27.100,94.379,-37.934,90.558,28.50,57.6,0.074,,walking
27.200,83.424,-38.459,131.007,28.50,57.6,0.074,,walking
27.300,62.910,-37.899,-22.243,28.50,57.6,0.074,,walking
27.400,34.585,-40.540,-79.523,28.50,57.6,0.074,,walking
27.500,16.808,-41.408,-102.632,28.50,57.6,0.074,,walking
27.600,4.016,-37.194,-115.402,28.50,57.6,0.074,,walking
27.700,-3.412,-22.863,-129.475,28.50,57.6,0.074,,walking
27.800,-21.693,-5.531,-24.300,28.50,57.6,0.074,,walking
27.900,-24.125,1.473,45.509,28.50,57.6,0.074,,walking
28.000,-8.610,0.485,74.663,28.51,57.6,0.074,,walking
28.100,46.605,-1.761,22.154,28.51,57.6,0.074,,walking
28.200,79.018,-18.026,36.886,28.51,57.6,0.074,,walking
28.300,97.669,-40.842,86.409,28.51,57.6,0.074,,walking
28.400,91.744,-36.917,118.602,28.51,57.6,0.074,,walking
28.500,82.148,-39.846,111.707,28.52,57.6,0.074,,walking
28.600,64.949,-35.544,-35.151,28.52,57.6,0.074,,walking
28.700,39.492,-31.469,-91.598,28.52,57.6,0.074,,walking
28.800,19.802,-26.698,-113.256,28.52,57.6,0.074,,walking
28.900,1.785,-22.863,-123.531,28.52,57.6,0.074,,walking
29.000,-7.541,-12.266,-131.263,28.53,57.6,0.074,,walking
