# distance_m=666.2
# duration_s=432
# pace=10m 48s /km
t,roll,pitch,yaw,tempC,steps,cadence,strideM,deltaH,label
404.700,12.144,15.412,57.720,22.57,0,0.0,222.074,,walking
404.800,10.940,15.726,56.509,22.58,0,0.0,222.074,,walking
404.900,12.352,16.892,57.243,22.58,0,0.0,222.074,,walking
405.000,13.038,18.006,61.373,22.59,0,0.0,222.074,,walking
405.100,11.817,19.089,62.424,22.59,0,0.0,222.074,,walking
405.200,8.442,20.555,63.017,22.59,0,0.0,222.074,,walking
405.300,6.348,21.607,58.101,22.59,0,0.0,222.074,,walking
405.400,6.684,22.684,59.107,22.59,0,0.0,222.074,,walking
405.500,8.333,20.264,53.458,22.59,0,0.0,222.074,,walking
405.600,11.267,19.495,44.812,22.59,0,0.0,222.074,,walking
405.700,14.818,20.326,46.411,22.59,0,0.0,222.074,,walking
405.800,12.700,21.227,33.983,22.58,0,0.0,222.074,,walking
405.900,10.798,23.441,3.396,22.58,0,0.0,222.074,,walking
406.000,12.028,22.107,-2.307,22.58,0,0.0,222.074,,walking
406.100,12.625,21.207,7.568,22.57,0,0.0,222.074,,walking
406.200,11.720,20.495,17.390,22.57,0,0.0,222.074,,walking
406.300,8.808,19.541,20.231,22.56,0,0.0,222.074,,walking
406.400,7.693,20.477,10.482,22.57,0,0.0,222.074,,walking
406.500,7.150,19.656,8.636,22.57,0,0.0,222.074,,walking
406.600,8.165,16.976,13.591,22.57,0,0.0,222.074,,walking
406.700,7.778,14.831,21.448,22.57,0,0.0,222.074,,walking
406.800,6.643,13.900,32.148,22.57,0,0.0,222.074,,walking
406.900,3.374,13.267,28.340,22.58,0,0.0,222.074,,walking
407.000,2.859,14.791,13.198,22.58,0,0.0,222.074,,walking
407.100,4.391,13.834,4.205,22.59,0,0.0,222.074,,walking
407.200,5.473,13.032,1.655,22.59,0,0.0,222.074,,walking
407.300,5.447,13.167,-0.496,22.60,0,0.0,222.074,,walking
407.400,6.425,16.048,-5.751,22.60,0,0.0,222.074,,walking
407.500,6.044,16.871,-18.136,22.60,0,0.0,222.074,,walking
407.600,5.494,17.757,-32.061,22.60,0,0.0,222.074,,walking
407.700,8.467,16.993,-35.088,22.61,0,0.0,222.074,,walking
407.800,10.360,16.260,-28.381,22.61,0,0.0,222.074,,walking
407.900,12.036,16.196,-14.575,22.61,0,0.0,222.074,,walking
408.000,11.339,15.100,-5.435,22.62,0,0.0,222.074,,walking
408.100,10.368,15.071,-9.754,22.62,0,0.0,222.074,,walking
408.200,11.618,15.937,-13.293,22.63,0,0.0,222.074,,walking
408.300,12.362,16.242,-11.526,22.64,0,0.0,222.074,,walking
408.400,12.754,16.908,-8.966,22.64,0,0.0,222.074,,walking
408.500,11.821,17.597,-10.783,22.65,0,0.0,222.074,,walking
408.600,8.657,16.356,-19.908,22.65,0,0.0,222.074,,walking
